Date: 2024-01-01, Action: Buy, Stock: AAPL, Amount: 63, Price: 158.3, Return: 0.0%
Date: 2024-01-02, Action: Sell, Stock: AAPL, Amount: 63, Price: 151.29, Return: -4.42%
Date: 2024-01-03, Action: Buy, Stock: AAPL, Amount: 62, Price: 153.22, Return: -4.42%
Date: 2024-01-04, Action: Sell, Stock: AAPL, Amount: 62, Price: 155.06, Return: -3.28%
Date: 2024-01-05, Action: Buy, Stock: AAPL, Amount: 58, Price: 165.43, Return: -3.28%
Date: 2024-01-06, Action: Sell, Stock: AAPL, Amount: 58, Price: 156.6, Return: -8.4%
Date: 2024-01-07, Action: Buy, Stock: AAPL, Amount: 54, Price: 167.99, Return: -8.4%
Date: 2024-01-08, Action: Sell, Stock: AAPL, Amount: 54, Price: 164.67, Return: -10.19%
Date: 2024-01-09, Action: Buy, Stock: AAPL, Amount: 50, Price: 178.61, Return: -10.19%
Date: 2024-01-10, Action: Sell, Stock: AAPL, Amount: 50, Price: 166.73, Return: -16.13%
Date: 2024-01-11, Action: Buy, Stock: AAPL, Amount: 50, Price: 165.34, Return: -16.13%
Date: 2024-01-12, Action: Sell, Stock: AAPL, Amount: 50, Price: 175.83, Return: -10.88%
Date: 2024-01-13, Action: Buy, Stock: AAPL, Amount: 49, Price: 179.36, Return: -10.88%
Date: 2024-01-14, Action: Sell, Stock: AAPL, Amount: 49, Price: 164.12, Return: -18.35%
Date: 2024-01-15, Action: Buy, Stock: AAPL, Amount: 49, Price: 166.45, Return: -18.35%
Date: 2024-01-16, Action: Sell, Stock: AAPL, Amount: 49, Price: 172.01, Return: -15.63%
Date: 2024-01-17, Action: Buy, Stock: AAPL, Amount: 51, Price: 165.37, Return: -15.63%
Date: 2024-01-18, Action: Sell, Stock: AAPL, Amount: 51, Price: 179.77, Return: -8.28%
Date: 2024-01-19, Action: Buy, Stock: AAPL, Amount: 52, Price: 175.06, Return: -8.28%
Date: 2024-01-20, Action: Sell, Stock: AAPL, Amount: 52, Price: 169.21, Return: -11.33%
Date: 2024-01-21, Action: Buy, Stock: AAPL, Amount: 51, Price: 171.66, Return: -11.33%
Date: 2024-01-22, Action: Sell, Stock: AAPL, Amount: 51, Price: 174.49, Return: -9.88%
Date: 2024-01-23, Action: Buy, Stock: AAPL, Amount: 52, Price: 173.24, Return: -9.88%
Date: 2024-01-24, Action: Sell, Stock: AAPL, Amount: 52, Price: 183.57, Return: -4.51%
Date: 2024-01-25, Action: Buy, Stock: AAPL, Amount: 51, Price: 185.39, Return: -4.51%
Date: 2024-01-26, Action: Sell, Stock: AAPL, Amount: 51, Price: 181.01, Return: -6.74%
Date: 2024-01-27, Action: Buy, Stock: AAPL, Amount: 54, Price: 171.95, Return: -6.74%
Date: 2024-01-28, Action: Sell, Stock: AAPL, Amount: 54, Price: 174.27, Return: -5.49%
Date: 2024-01-29, Action: Buy, Stock: AAPL, Amount: 57, Price: 163.83, Return: -5.49%
